Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks,CoordinatesDecimal,Distance,Source
,ES,FSC,Fuentesauco,Fuentesauco,ZA,RL,--3-----,1001,,4114N 00530W,,"41.23333,-5.50000",0,UN/LOCODE
,ES,FSD,Novales,Novales,S,RL,--3-----,1001,,4323N 00410W,,"43.38333,-4.16667",1,UN/LOCODE
,ES,FSL,Fuensalida,Fuensalida,,RL,1-------,1001,,4003N 00412W,,"40.05000,-4.20000",1,UN/LOCODE
,ES,FSN,Fasnia,Fasnia,TF,RL,--3-----,1001,,2814N 01626W,,"28.23333,-16.43333",1,UN/LOCODE
,ES,FST,Falset,Falset,T,RL,--3-----,0901,,4108N 00049E,,"41.13333,0.81667",1,UN/LOCODE
,ES,FT2,Fuentelisendo,Fuentelisendo,BU,RL,--3-----,1307,,4137N 00354W,,"41.61667,-3.90000",1,UN/LOCODE
,ES,FT7,Fuentecen,Fuentecen,BU,RL,--3-----,1307,,4138N 00352W,,"41.63333,-3.86667",1,UN/LOCODE
,ES,FT8,Fontanares,Fontanares,V,RL,--3-----,1307,,3847N 00047W,,"38.78333,-0.78333",0,UN/LOCODE
,ES,FT9,Fuentelcésped,Fuentelcesped,BU,RL,--3-----,1307,,4135N 00338W,,"41.58333,-3.63333",1,UN/LOCODE
,ES,FTA,Fromista,Fromista,P,RL,--3-----,1001,,4216N 00424W,,"42.26667,-4.40000",0,UN/LOCODE
,ES,FTB,Fuentes de Béjar,Fuentes de Bejar,SA,RL,--3-----,1301,,4030N 00541W,,"40.50000,-5.68333",1,UN/LOCODE
,ES,FTD,Fuentiduena,Fuentiduena,SG,RL,--3-----,1601,,4126N 00358W,,"41.43333,-3.96667",1,UN/LOCODE
,ES,FTF,Fuentesauco de Fuentiduena,Fuentesauco de Fuentiduena,SG,RL,--3-----,1601,,4125N 00404W,,"41.41667,-4.06667",1,UN/LOCODE
,ES,FTL,Fatarella,Fatarella,T,RL,--3-----,1001,,4110N 00029E,,"41.16667,0.48333",1,UN/LOCODE
,ES,FTM,Fuentemolinos,Fuentemolinos,BU,RL,--3-----,1601,,4136N 00351W,,"41.60000,-3.85000",1,UN/LOCODE
,ES,FTN,Fortuna,Fortuna,MU,RL,--3-----,0901,,3811N 00107W,,"38.18333,-1.11667",1,UN/LOCODE
,ES,FTP,Fuentespreadas,Fuentespreadas,ZA,AA,-----6--,1801,,4119N 00537W,,"41.31667,-5.61667",1,UN/LOCODE
,ES,FTR,Fitero,Fitero,NA,RL,--3-----,1001,,4203N 00151W,,"42.05000,-1.85000",1,UN/LOCODE
,ES,FTS,Fuentes de Leon,Fuentes de Leon,BA,RL,--3-----,1001,,3804N 00632W,,"38.06667,-6.53333",1,UN/LOCODE
,ES,FTT,Fuentealbilla,Fuentealbilla,AB,RL,--3-----,1307,,3916N 00133W,,"39.26667,-1.55000",3,UN/LOCODE
,ES,FTV,Fuentenovilla,Fuentenovilla,GU,RL,--3-----,1601,,4022N 00305W,,"40.36667,-3.08333",1,UN/LOCODE
,ES,FUA,Faura,Faura,,RL,--3-----,9501,,3944N 00016W,,"39.7262295,-0.2611236",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/344268
,ES,FUC,Fuentes Andalucia,Fuentes Andalucia,SE,RL,--3-----,1001,,3728N 00521W,,"37.46667,-5.35000",1,UN/LOCODE
,ES,FUD,Fuentes de Valdepero,Fuentes de Valdepero,P,RL,--3-----,1207,,4204N 00430W,,"42.06667,-4.50000",1,UN/LOCODE
,ES,FUE,Puerto del Rosario-Fuerteventura,Puerto del Rosario-Fuerteventura,,AI,1--4----,9601,,2830N 01351W,,"28.5065839,-13.8451575",N/A (no UN/LOCODE),https://www.openstreetmap.org/way/1338224488#map=12/28.5065839/-13.8451575
,ES,FUJ,Fuentidueña de Tajo,Fuentiduena de Tajo,M,RL,--3-----,0212,,4007N 00309W,,"40.11667,-3.15000",1,UN/LOCODE
,ES,FUM,Fuenmayor,Fuenmayor,,RL,--3-----,9501,,4228N 00234W,,"42.4670856,-2.5614574",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/340186
,ES,FUP,Fuentepelayo,Fuentepelayo,SG,RL,--3--67-,0501,,4113N 00410W,,"41.21667,-4.16667",1,UN/LOCODE
,ES,FUS,Fustiñana,Fustinana,NA,RL,--3-----,0212,,4202N 00128W,,"42.03333,-1.46667",2,UN/LOCODE
,ES,FUT,Fuente-Tójar,Fuente-Tojar,CO,RL,--3-----,1307,,3731N 00409W,,"37.51667,-4.15000",1,UN/LOCODE
,ES,FUZ,Fuendejalón,Fuendejalon,Z,RL,--3-----,1307,,4146N 00128W,,"41.76667,-1.46667",1,UN/LOCODE
,ES,FVA,Galizano,Galizano,S,RL,--3-----,1001,,4328N 00340W,,"43.46667,-3.66667",0,UN/LOCODE
